,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename_x,stagename_y,Analise descarte,Classification,Time Since Announced
117,Volters,https://www.crunchbase.com/organization/volters,Angel Round - Volters,https://www.crunchbase.com/funding_round/volters-angel--728cd552,,,,Angel,"Energy, FinTech, Renewable Energy",2024-03-08,,Mauricio Pretto,Seed,,,,,,,Yes,"Volters: B2B SaaS connecting consumers, generators, and investors in clean energy — a comprehensive sustainable energy platform.",,volters.com.br,,Seed,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2024,volters,24411.0,volters,volters.com.br,Discard,Discard,,Indefinido,145
118,copybase,https://www.crunchbase.com/organization/copybase,Pre Seed Round - copybase,https://www.crunchbase.com/funding_round/copybase-pre-seed--74611034,1000000.0,BRL,202626.0,Pre-Seed,"Artificial Intelligence (AI), Marketing, Software",2024-03-07,DOMO.VC,DOMO.VC,Seed,1000000.0,BRL,202626.0,,,,Yes,"Utilizes AI to improve marketing for agencies through chat, documents, images, and video solutions.",,copybase.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,copybase,23685.0,copybase,copybase.com.br,Portfolio,Portfolio,,Portfolio,146
119,Analytica Ensino,https://www.crunchbase.com/organization/analytica-ensino,Seed Round - Analytica Ensino,https://www.crunchbase.com/funding_round/analytica-ensino-seed--63aa7f6a,800000.0,USD,800000.0,Seed,Education,2024-03-07,Iron Capital,Iron Capital,Seed,800000.0,USD,800000.0,,,,Yes,"Analytica Ensino is an educational technology company that creates instructional materials for businesses, governments, and institutions.",,analyticaensino.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,analyticaensino,24368.0,analyticaensino,analyticaensino.com.br,Opportunity,Opportunity,,Em análise,146
120,Nextron Energia,https://www.crunchbase.com/organization/nextron-energia,Series A - Nextron Energia,https://www.crunchbase.com/funding_round/nextron-energia-series-a--00ffb4d3,7542835.0,USD,7542835.0,Series A,"Clean Energy, Energy, Renewable Energy",2024-03-06,"Copel Ventures, Vox Capital","Barn Investments, Copel Ventures, Scale-Up Ventures, Valor Capital Group, Vox Capital",Early Stage Venture,26000000.0,BRL,5257835.0,,,,Yes,Nextron is an energy-as-a-service clean-tech platform that simplifies access to renewable energy through a seamless digital experience.,,nextronenergia.com.br,,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2024,nextronenergia,23660.0,nextronenergia,nextronenergia.com.br,Registered,Registered,,Nao tivemos acesso,147
122,StopClub,https://www.crunchbase.com/organization/stopclub,Venture Round - StopClub,https://www.crunchbase.com/funding_round/stopclub-series-unknown--ea481bf6,,,,Venture - Series Unknown,"Communities, Mobile Apps, Social Network",2024-03-06,Redpoint eventures,"Raio Capital, Redpoint eventures",,,,,,,,Yes,StopClub is a social fintech for gig workers.,,app.stopclub.com.br,Less than $1M,,4,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,stopclub,3174.0,stopclub,stopclub.com.br,Discard,Discard,,Indefinido,147
124,BLUECYBER,https://www.crunchbase.com/organization/bluecyber,Seed Round - BLUECYBER,https://www.crunchbase.com/funding_round/bluecyber-seed--aa4a408d,1750000.0,USD,1750000.0,Seed,"Insurance, InsurTech",2024-03-05,"Bossanova Investimentos, Invisto","Bossanova Investimentos, Invisto",Seed,1500000.0,USD,1500000.0,,,,Yes,"Cyber insurance, simplified. The embedded cyber insurance API marketplace for underserved SMEs and families in Latin America",,bluecyber.insure,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,bluecyber,22160.0,bluecyber,bluecyberseguros.com.br,P.Comitê 01,P.Comitê 01,,Dúvida,148
125,Proffer,https://www.crunchbase.com/organization/proffer-5b42,Seed Round - Proffer,https://www.crunchbase.com/funding_round/proffer-5b42-seed--24062d9c,655009.0,USD,655009.0,Seed,"Artificial Intelligence (AI), Information Technology, Pharmaceutical, Retail Technology",2024-03-05,Criatec 4,Criatec 4,Seed,3000000.0,BRL,605009.0,,,,Yes,"Proffer develops and operates Saas revenue management tool for retail, distribution and industry.",,proffer.com.br,,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,proffer,19988.0,proffer,proffer.com.br,P.Comitê 02,P.Comitê 02,,Dúvida,148
126,Naturanic,https://www.crunchbase.com/organization/naturanic,Series A - Naturanic,https://www.crunchbase.com/funding_round/naturanic-series-a--3e5da06e,2000000.0,USD,2000000.0,Series A,"Organic Food, Snack Food",2024-03-04,Moriah Asset,Moriah Asset,Early Stage Venture,2000000.0,USD,2000000.0,,,,Yes,Naturanic rescues and promotes Brazilian biodiversity with a sustainable model of organic agriculture.,,naturanic.com,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2024,naturanic,,,,Nao tivemos acesso,,,Nao tivemos acesso,149
127,Green Cloud Technology,https://www.crunchbase.com/organization/green-cloud-technology,Seed Round - Green Cloud Technology,https://www.crunchbase.com/funding_round/green-cloud-technology-seed--4151b01b,20000.0,USD,20000.0,Seed,,2024-03-01,WK Venture Capital,WK Venture Capital,Seed,20000.0,USD,20000.0,200000.0,USD,200000.0,Yes,Green Cloud Technology is a service company that is dedicated to democratizing access to gaming through cutting-edge technology.,,greencloudbeta.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,greencloudtechnology,,,,Nao tivemos acesso,,,Nao tivemos acesso,152
128,Juri Capital,https://www.crunchbase.com/organization/juri-capital,Pre Seed Round - Juri Capital,https://www.crunchbase.com/funding_round/juri-capital-pre-seed--720d4546,350000.0,USD,350000.0,Pre-Seed,"Credit, Financial Services, FinTech, Legal Tech",2024-03-01,,,Seed,350000.0,USD,350000.0,,,,Yes,"Finance, Credit, Labor Lawsuit",,juri.capital,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,juricapital,,,,Nao tivemos acesso,,,Nao tivemos acesso,152
129,AIPER,https://www.crunchbase.com/organization/aiper,Grant - AIPER,https://www.crunchbase.com/funding_round/aiper-grant--c8abc17d,372200.0,BRL,76408.0,Grant,"Biotechnology, Life Science",2024-02-29,,,,42500.0,BRL,8549.0,,,,No,AIPER develops biodegradable pigments using agricultural residues through fermentation for the textile and cosmetics industries.,,aiper.com.br,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2024,aiper,20135.0,aiper,aiper.com.br,Discard,,Indefinido,Indefinido,153
130,Neowrk,https://www.crunchbase.com/organization/neowrk,Seed Round - Neowrk,https://www.crunchbase.com/funding_round/neowrk-seed--59bc91e4,10000000.0,BRL,2012558.0,Seed,"Developer APIs, Developer Platform, Management Consulting",2024-02-28,Indicator Capital,"Daniel Cherman, Indicator Capital",Seed,10000000.0,BRL,2012558.0,,,,Yes,Neowrk is an application that manages the employee's journey in the various workspaces of corporate offices.,,neowrk.com,,Seed,1,"Campinas, Goias, Brazil, South America",2024,neowrk,20948.0,neowrk,neowrk.com,Discard,Discard,,Indefinido,154
131,Darwin AI,https://www.crunchbase.com/organization/darwin-ai-53bb,Seed Round - Darwin AI,https://www.crunchbase.com/funding_round/darwin-ai-53bb-seed--d9faa2d6,2500000.0,USD,2500000.0,Seed,"Artificial Intelligence (AI), Information Technology, Software",2024-02-26,Canary,"Canary, Dalus Capital, FJ Labs, H20 Capital, Latitud, Vira Ventures",Seed,2500000.0,USD,2500000.0,,,,Yes,Self-learning plug & play AI employee for non-technical SMBs,,getdarwin.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,darwinai,,,,Nao tivemos acesso,,,Nao tivemos acesso,156
132,Housi,https://www.crunchbase.com/organization/housi,Venture Round - Housi,https://www.crunchbase.com/funding_round/housi-series-unknown--1f4fbec3,21000000.0,USD,21000000.0,Venture - Series Unknown,Real Estate,2024-02-26,"Redpoint eventures, TM3 Capital","Acolab Ventures, Redpoint eventures, TM3 Capital",,10000000.0,USD,10000000.0,,,,Yes,"Housi is a startup focused on property management, optimizing profitability through a proprietary algorithm and online distribution",,housi.com,$1M to $10M,,2,"Brasil, Sao Paulo, Brazil, South America",2024,housi,12315.0,housi,,Registered,Registered,,Nao tivemos acesso,156
133,Setfin,https://www.crunchbase.com/organization/setfin,Angel Round - Setfin,https://www.crunchbase.com/funding_round/setfin-angel--d8a44e35,,,,Angel,"Apps, Financial Services, FinTech",2024-02-24,,Mauricio Pretto,Seed,,,,,,,Yes,Setfin specializes in offering financial solutions for micro and small entrepreneurs.,,setfin.com.br,,Seed,1,"Monções, Sao Paulo, Brazil, South America",2024,setfin,,,,Nao tivemos acesso,,,Nao tivemos acesso,158
134,Skyone,https://www.crunchbase.com/organization/sky-in-one,Series B - Skyone,https://www.crunchbase.com/funding_round/sky-in-one-series-b--6597fb0f,52637854.0,USD,52637854.0,Series B,"Cloud Computing, Cyber Security, Data Integration, Information Services, Information Technology, PaaS, SaaS, Software",2024-02-23,Bewater,Bewater,Early Stage Venture,12000000.0,USD,12000000.0,,,,Yes,One Platform. Endless possibilities.,,skyone.solutions,$10M to $50M,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2024,skyone,20984.0,skyone,skyone.solutions,Registered,Registered,,Nao tivemos acesso,159
135,Loovi,https://www.crunchbase.com/organization/loovi,Venture Round - Loovi,https://www.crunchbase.com/funding_round/loovi-series-unknown--ba56d130,45000000.0,BRL,9008107.0,Venture - Series Unknown,"Fleet Management, GPS, Information Technology",2024-02-23,"Marçal Holding, Oliveira Participações","Marçal Holding, Oliveira Participações",,45000000.0,BRL,9008107.0,,,,Yes,"Loovi specializes in vehicle tracking, security, theft warranty and fleet management services.",,loovi.com.br,,,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2024,loovi,18965.0,loovi,loovi.com.br,Discard,Discard,,Dúvida,159
136,Lend,https://www.crunchbase.com/organization/lend-5567,Pre Seed Round - Lend,https://www.crunchbase.com/funding_round/lend-5567-pre-seed--88bf4cb0,,,,Pre-Seed,FinTech,2024-02-23,,FJ Labs,Seed,,,,,,,Yes,Lend provides a platform for companies to ease the process of setting up credit operations in full compliance with regulatory policies.,,lend.tech,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,lend,24334.0,lend,lend.tech,Discard,Discard,,Indefinido,159
137,BEMAGRO,https://www.crunchbase.com/organization/bemagro,Seed Round - BEMAGRO,https://www.crunchbase.com/funding_round/bemagro-seed--16e3290d,10200000.0,BRL,2069847.0,Seed,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Software",2024-02-20,CNH Industrial,"Agroven Group, CNH Industrial, MM Agro International, Rural Ventures",Seed,10200000.0,BRL,2069847.0,,,,Yes,BEMAGRO offers imaging solutions through artificial intelligence to promote productive and sustainable agriculture.,,bemagro.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,bemagro,,,,Nao tivemos acesso,,,Nao tivemos acesso,162
138,Rhino,https://www.crunchbase.com/organization/rhino-48e5,Seed Round - Rhino,https://www.crunchbase.com/funding_round/rhino-48e5-seed--44b9f24e,2350000.0,USD,2350000.0,Seed,Transportation,2024-02-20,,,Seed,1800000.0,USD,1800000.0,,,,Yes,First-class armored rides,,vamosrhino.com.br,,Seed,2,"Barueri, Sao Paulo, Brazil, South America",2024,rhino,25819.0,rhino,,Discard,,Indefinido,Indefinido,162
139,EasyTelling AI,https://www.crunchbase.com/organization/easytelling-ai,Pre Seed Round - EasyTelling AI,https://www.crunchbase.com/funding_round/easytelling-ai-pre-seed--482640be,125000.0,USD,125000.0,Pre-Seed,"Artificial Intelligence (AI), Semantic Search, Software",2024-02-19,Antler,Antler,Seed,125000.0,USD,125000.0,,,,Yes,Using AI to find and understand papers in the fast way possible for you,,easytelling.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,easytellingai,,,,Nao tivemos acesso,,,Nao tivemos acesso,163
140,4MDG,https://www.crunchbase.com/organization/4mdg,Venture Round - 4MDG,https://www.crunchbase.com/funding_round/4mdg-series-unknown--e9da1e47,4800000.0,BRL,939165.0,Venture - Series Unknown,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology",2024-02-16,BR Angels,"BR Angels, Darwin Startups",,3800000.0,BRL,765034.0,,,,Yes,"4MDG provides data management services for the registration portal, retail technology, and customer registration.",,4mdg.com.br/#b891,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,4mdg,19409.0,4mdg,4mdg.com.br,Discard,Discard,,Indefinido,166
141,4MDG,https://www.crunchbase.com/organization/4mdg,Venture Round - 4MDG,https://www.crunchbase.com/funding_round/4mdg-series-unknown--e9da1e47,4800000.0,BRL,939165.0,Venture - Series Unknown,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology",2024-02-16,BR Angels,"BR Angels, Darwin Startups",,3800000.0,BRL,765034.0,,,,Yes,"4MDG provides data management services for the registration portal, retail technology, and customer registration.",,4mdg.com.br/#b891,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,4mdg,19409.0,4mdg,4mdg.com.br,Discard,Discard,,Indefinido,166
142,4MDG,https://www.crunchbase.com/organization/4mdg,Venture Round - 4MDG,https://www.crunchbase.com/funding_round/4mdg-series-unknown--e9da1e47,4800000.0,BRL,939165.0,Venture - Series Unknown,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology",2024-02-16,BR Angels,"BR Angels, Darwin Startups",,3800000.0,BRL,765034.0,,,,Yes,"4MDG provides data management services for the registration portal, retail technology, and customer registration.",,4mdg.com.br/#b891,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,4mdg,19410.0,4mdg,4mdg.com.br,Discard,Discard,,Indefinido,166
143,4MDG,https://www.crunchbase.com/organization/4mdg,Venture Round - 4MDG,https://www.crunchbase.com/funding_round/4mdg-series-unknown--e9da1e47,4800000.0,BRL,939165.0,Venture - Series Unknown,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology",2024-02-16,BR Angels,"BR Angels, Darwin Startups",,3800000.0,BRL,765034.0,,,,Yes,"4MDG provides data management services for the registration portal, retail technology, and customer registration.",,4mdg.com.br/#b891,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,4mdg,19410.0,4mdg,4mdg.com.br,Discard,Discard,,Indefinido,166
144,Ermis.AI,https://www.crunchbase.com/organization/ermis-ai,Pre Seed Round - Ermis.AI,https://www.crunchbase.com/funding_round/ermis-ai-pre-seed--73ecb144,2865056.0,BRL,576030.0,Pre-Seed,"Content Creators, Digital Marketing, E-Learning, Podcast, Telecommunications",2024-02-15,SEBRAE - RS,SEBRAE - RS,Seed,2865056.0,BRL,576030.0,12000000.0,BRL,2412642.0,Yes,Ermis.ai is an innovative technology company specializing in artificial intelligence-driven voice synthesis.,,ermis.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,ermis.ai,,,,Nao tivemos acesso,,,Nao tivemos acesso,167
145,Leggal,https://www.crunchbase.com/organization/leggal,Pre Seed Round - Leggal,https://www.crunchbase.com/funding_round/leggal-pre-seed--996f0c1f,500000.0,BRL,100612.0,Pre-Seed,"Employee Benefits, Legal Tech",2024-02-14,Anjos do Brasil,Anjos do Brasil,Seed,500000.0,BRL,100612.0,,,,Yes,Benefit of Legal Support Platform for Employees,,leggal.com.br,,Seed,1,"Barueri, Sao Paulo, Brazil, South America",2024,leggal,26296.0,leggal,leggal.com.br,Fazer Teste de Aderência,,,Nao tivemos acesso,168
146,Cellva Ingredients,https://www.crunchbase.com/organization/cellva-ingredients,Seed Round - Cellva Ingredients,https://www.crunchbase.com/funding_round/cellva-ingredients-seed--9de4dd65,2612203.0,USD,2612203.0,Seed,"Biotechnology, Food and Beverage, Food Processing",2024-02-13,FUNDEPAR,"EA Angels, FUNDEPAR, ProVeg Incubator, Rumbo Ventures",Seed,6500000.0,BRL,1312203.0,,,,Yes,"Cellva Ingredients is a biotech firm producing food ingredients and animal fats with GMO-free, animal-free, and nonsynthetic technologies.",,cellva.com,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2024,cellvaingredients,,,,Nao tivemos acesso,,,Nao tivemos acesso,169
147,Cellva Ingredients,https://www.crunchbase.com/organization/cellva-ingredients,Seed Round - Cellva Ingredients,https://www.crunchbase.com/funding_round/cellva-ingredients-seed--9de4dd65,2612203.0,USD,2612203.0,Seed,"Biotechnology, Food and Beverage, Food Processing",2024-02-13,FUNDEPAR,"EA Angels, FUNDEPAR, ProVeg Incubator, Rumbo Ventures",Seed,6500000.0,BRL,1312203.0,,,,Yes,"Cellva Ingredients is a biotech firm producing food ingredients and animal fats with GMO-free, animal-free, and nonsynthetic technologies.",,cellva.com,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2024,cellvaingredients,,,,Nao tivemos acesso,,,Nao tivemos acesso,169
148,LogShare,https://www.crunchbase.com/organization/logshare,Seed Round - LogShare,https://www.crunchbase.com/funding_round/logshare-seed--288c1911,2400000.0,USD,2400000.0,Seed,"Collaboration, GreenTech, Logistics, Shipping, Supply Chain Management",2024-02-12,ONEVC,"FJ Labs, Kamay Ventures, Niu Ventures, ONEVC, Oxygea, Rally Capital, Seedstars International Ventures, Silence VC, Valutia",Seed,2400000.0,USD,2400000.0,,,,Yes,LogShare develops and provides collaboration solutions between shipper and carrier companies.,,logshare.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,logshare,22982.0,logshare,logshare.com.br,Discard,Discard,,Lost to another players,170
149,Cogtive,https://www.crunchbase.com/organization/cogtive,Seed Round - Cogtive,https://www.crunchbase.com/funding_round/cogtive-seed--beef7cf7,10000000.0,BRL,2002684.0,Seed,"Artificial Intelligence (AI), Business Development, Information Technology, Manufacturing, Quality Assurance, Software",2024-02-08,Indicator Capital,Indicator Capital,Seed,10000000.0,BRL,2002684.0,,,,Yes,Cogtive is a software company which offers software solutions based on AI to increase profit.,,cogtive.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,cogtive,20006.0,cogtive,cogtive.com.br,Opportunity,Opportunity,,Dúvida,174
150,Prolog,https://www.crunchbase.com/organization/prolog-dac4,Seed Round - Prolog,https://www.crunchbase.com/funding_round/prolog-dac4-seed--fa21dd29,5500000.0,BRL,1101476.0,Seed,"Fleet Management, Logistics",2024-02-08,Parceiro Ventures,Parceiro Ventures,Seed,5500000.0,BRL,1101476.0,,,,Yes,Prolog is an IT company that develops tire and fleet management solutions to boost the productivity and efficiency of the logistics sector.,,prologapp.com,,Seed,1,"Palhoça, Santa Catarina, Brazil, South America",2024,prolog,,,,Nao tivemos acesso,,,Nao tivemos acesso,174
151,Vertown,https://www.crunchbase.com/organization/vertown,Venture Round - Vertown,https://www.crunchbase.com/funding_round/vertown-series-unknown--c7a6a59e,7000000.0,BRL,1408252.0,Venture - Series Unknown,,2024-02-07,"Acolab Ventures, IRANI","Acolab Ventures, IRANI",,7000000.0,BRL,1408252.0,,,,Yes,"The Vertown platform is an online application that enables comprehensive garbage management, from generation to disposal.",,vertown.com,,,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2024,vertown,24248.0,vertown,vertown.com,Opportunity,Opportunity,,Dúvida,175
152,Psyche Aerospace,https://www.crunchbase.com/organization/psyche-aerospace,Series A - Psyche Aerospace,https://www.crunchbase.com/funding_round/psyche-aerospace-series-a--a9d4e6cf,17400000.0,BRL,3499056.0,Series A,"Aerospace, Agriculture, Artificial Intelligence (AI), Drones, Industrial, Manufacturing",2024-02-05,Unknown Profile,Unknown Profile,Early Stage Venture,15000000.0,BRL,3008726.0,75000000.0,BRL,15043630.0,Yes,"Psyche Aerospace is an innovative service that uses a fleet of autonomous drones to spray large crops quickly, easily, and accurately.",,psycheaerospace.com,Less than $1M,Early Stage Venture,3,"São José Dos Campos, Sao Paulo, Brazil, South America",2024,psycheaerospace,24488.0,psycheaerospace,psycheaerospace.com,P.Comitê 01,P.Comitê 01,,Dúvida,177
153,Traive,https://www.crunchbase.com/organization/traive,Series B - Traive,https://www.crunchbase.com/funding_round/traive-series-b--715b4c78,67800000.0,USD,67800000.0,Series B,"AgTech, Artificial Intelligence (AI), Financial Services, FinTech, Generative AI, Lending, Machine Learning",2024-02-02,"Astella, Banco do Brasil","Astella, Banco do Brasil, BASF Venture Capital",Early Stage Venture,20000000.0,USD,20000000.0,,,,Yes,"Traive is a lending and credit risk assessment platform powered by LLMs and GANs to revolutionize credit, in agriculture and beyond.",,traivefinance.com,$1M to $10M,Early Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2024,traive,11695.0,traive,traivefinance.com,Registered,,,Nao tivemos acesso,180
154,PayHop,https://www.crunchbase.com/organization/payhop,Venture Round - PayHop,https://www.crunchbase.com/funding_round/payhop-series-unknown--09ec5109,11500000.0,BRL,2238530.0,Venture - Series Unknown,"Credit, Financial Exchanges, Payments, Transaction Processing",2024-02-02,iDEXO,"Citrino Ventures, DOMO.VC, Experian Ventures, iDEXO",,,,,,,,Yes,PayHop is a technological platform that provides payments in its commercial transactions.,,payhop.com.br,$1M to $10M,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,payhop,18712.0,payhop,payhop.com.br,Portfolio,Portfolio,,Portfolio,180
155,Tenchi Security,https://www.crunchbase.com/organization/tenchi-security,Series A - Tenchi Security,https://www.crunchbase.com/funding_round/tenchi-security-series-a--9e5f16f8,10300000.0,USD,10300000.0,Series A,"Cloud Security, Risk Management, SaaS, Security",2024-02-01,Banco Bradesco,"Accenture Ventures, Banco Bradesco, Kinea Investimentos Ltda, L4 Venture Builder, MAYA Capital, ONEVC",Early Stage Venture,7000000.0,USD,7000000.0,,,,Yes,Tenchi Security minmizes information asymmetry related to security and compliance risks within corporate ecosystems.,,tenchisecurity.com,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2024,tenchisecurity,23941.0,tenchisecurity,tenchisecurity.com,Fazer Teste de Aderência,Fazer Teste de Aderência,,Nao tivemos acesso,181
157,Cyns,https://www.crunchbase.com/organization/cyns,Seed Round - Cyns,https://www.crunchbase.com/funding_round/cyns-seed--cd6a5b04,,,,Seed,Biotechnology,2024-01-30,,"Lambarin Investimentos, Sumitomo",Seed,,,,,,,Yes,Cyns is a provider of Hermetia illucens-derived chemicals.,,cyns.com.br,,Seed,2,"Terezinha, Mato Grosso do Sul, Brazil, South America",2024,cyns,,,,Nao tivemos acesso,,,Nao tivemos acesso,183
158,PlayGreen,https://www.crunchbase.com/organization/playgreen-57e6,Seed Round - PlayGreen,https://www.crunchbase.com/funding_round/playgreen-57e6-seed--5f60ca00,6000000.0,USD,6000000.0,Seed,Sports,2024-01-30,Vice Ventures,Vice Ventures,Seed,6000000.0,USD,6000000.0,,,,Yes,PlayGreen is a sports media and gaming company.,,playgreen.com,,M&A,1,"Barueri, Sao Paulo, Brazil, South America",2024,playgreen,,,,Nao tivemos acesso,,,Nao tivemos acesso,183
159,BRLA Digital,https://www.crunchbase.com/organization/brla-digital,Pre Seed Round - BRLA Digital,https://www.crunchbase.com/funding_round/brla-digital-pre-seed--5a072d92,3000000.0,BRL,598313.0,Pre-Seed,"Blockchain, Finance, Financial Services",2024-01-29,99 Capital,99 Capital,Seed,,,,,,,Yes,BRLA Digital is a technological firm that promotes economic growth and financial inclusion.,,brla.digital,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,brladigital,24454.0,brladigital,brla.digital,Discard,Discard,,Indefinido,184
160,Zipfy.io,https://www.crunchbase.com/organization/zipfy-io,Angel Round - Zipfy.io,https://www.crunchbase.com/funding_round/zipfy-io-angel--933d774e,10000.0,USD,10000.0,Angel,"Analytics, Artificial Intelligence (AI), Fraud Detection, Identity Management, Predictive Analytics",2024-01-28,,,Seed,10000.0,USD,10000.0,,,,Yes,Create anti-fraud workflows in less than 10 minutes,,zipfy.io,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,zipfy.io,,,,Nao tivemos acesso,,,Nao tivemos acesso,185
161,Amigo Tech S/A,https://www.crunchbase.com/organization/amigo-app,Series A - Amigo Tech S/A,https://www.crunchbase.com/funding_round/amigo-app-series-a--27a66814,160000000.0,BRL,32546124.0,Series A,"Electronic Health Record (EHR), Health Care, Medical",2024-01-26,Riverwood Capital,Riverwood Capital,Early Stage Venture,160000000.0,BRL,32546124.0,,,,Yes,We create solutions for the entire healthcare professional journey!,,amigotech.com.br,,Early Stage Venture,1,"Pernambuco, Pernambuco, Brazil, South America",2024,amigotechs/a,,,,Nao tivemos acesso,,,Nao tivemos acesso,187
162,Daki,https://www.crunchbase.com/organization/daki,Venture Round - Daki,https://www.crunchbase.com/funding_round/daki-series-unknown--6b3ba790,105066883.0,USD,105066883.0,Venture - Series Unknown,"Delivery, Food and Beverage, Mobile Apps",2024-01-24,4equity - Media Ventures,4equity - Media Ventures,,25000000.0,BRL,5066883.0,,,,Yes,Daki is a mobile application that delivers purchases in seconds.,,soudaki.com,,,4,"São Paulo, Sao Paulo, Brazil, South America",2024,daki,20703.0,daki,soudaki.com,Registered,Registered,,Nao tivemos acesso,189
164,EbookMaker,https://www.crunchbase.com/organization/ebookmaker,Pre Seed Round - EbookMaker,https://www.crunchbase.com/funding_round/ebookmaker-pre-seed--639867d7,40000.0,BRL,8016.0,Pre-Seed,Artificial Intelligence (AI),2024-01-22,,Gustavo Andrade Rocha,Seed,40000.0,BRL,8016.0,1000000.0,BRL,200409.0,Yes,EbookMaker is a revolutionary platform that uses artificial intelligence to facilitate the creation of ebooks.,,ebookmaker.ai,,Seed,1,"Cascavel, Sao Paulo, Brazil, South America",2024,ebookmaker,,,,Nao tivemos acesso,,,Nao tivemos acesso,191
165,Certimine,https://www.crunchbase.com/organization/certimine,Pre Seed Round - Certimine,https://www.crunchbase.com/funding_round/certimine-pre-seed--f6dcca67,3000000.0,BRL,608396.0,Pre-Seed,"Data Mining, Mining, Mining Technology",2024-01-20,,,Seed,3000000.0,BRL,608396.0,,,,Yes,Certimine is a mining industry that has been certified by both national and international ESG standards.,,certimine.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,certimine,,,,Nao tivemos acesso,,,Nao tivemos acesso,193
166,Minum,https://www.crunchbase.com/organization/minum,Seed Round - Minum,https://www.crunchbase.com/funding_round/minum-seed--33b2ba36,11000000.0,USD,11000000.0,Seed,"Energy, Energy Efficiency, Energy Management, Energy Storage, Renewable Energy",2024-01-19,,,Seed,10000000.0,USD,10000000.0,,,,Yes,Digital electricity provider,,minum.com.br,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,minum,,,,Nao tivemos acesso,,,Nao tivemos acesso,194
167,Voa Health,https://www.crunchbase.com/organization/voa-health,Funding Round - Voa Health,https://www.crunchbase.com/funding_round/voa-health-undisclosed--f5720498,250000.0,USD,250000.0,Funding Round,"Artificial Intelligence (AI), Generative AI, SaaS, Software",2024-01-18,,,,250000.0,USD,250000.0,,,,Yes,Voa is redefining healthcare by empowering clinicians and healthcare providers with an advanced AI Assistant,,voa.health,,,1,"Curitiba, Parana, Brazil, South America",2024,voahealth,,,,Nao tivemos acesso,,,Nao tivemos acesso,195
